year,week,status,file_name,url
2025,17th,success,week_17.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/83738128151750661230.pdf
2025,18th,success,week_18.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/49519545601751257248.pdf
2025,19th,success,week_19.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/75788759701752062509.pdf
2025,20th,success,week_20.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/46878165591752552468.pdf
2025,21st,success,week_21.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/63892529841752814846.pdf
2025,22nd,success,week_22.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/63053630001754370208.pdf
2025,23rd,success,week_23.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/97741154541754032704.pdf
2025,24th,success,week_24.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/40497724221754048530.pdf
2025,25th,success,week_25.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/32429740761754893177.pdf
2025,26th,success,week_26.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/34745966901755506823.pdf
2025,27th,success,week_27.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/5346251801755842541.pdf
2025,28th,success,week_28.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/102422351756882459.pdf
2025,29th,success,week_29.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/59365499701757416180.pdf
2025,30th,success,week_30.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/2471833701757912313.pdf
2025,31st,success,week_31.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/37618885271758008500.pdf
2025,32nd,success,week_32.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/24391234031758598649.pdf
2025,33rd,success,week_33.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/59012980081759128805.pdf
2025,34th,success,week_34.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/73327934151759730706.pdf
2025,35th,success,week_35.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/46133455371760349558.pdf
2025,36th,success,week_36.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/55664559961761716220.pdf
2025,37th,success,week_37.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/4345056491761883941.pdf
2025,38th,success,week_38.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/805895871763230500.pdf
2025,39th,success,week_39.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/81262998051763230366.pdf
2025,40th,success,week_40.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/31351332071764654053.pdf
2025,41st,success,week_41.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/4474994691764654405.pdf
2025,42nd,success,week_42.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/72841139511764924759.pdf
2025,43rd,success,week_43.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/41131162841765953603.pdf
